"enrollment","scenario","pmp","ind1.rr0","ind1.rr1","ind2.rr0","ind2.rr1","ind3.rr0","ind3.rr1","ind4.mu0","ind4.mu1","ind4.sd0","ind4.sd1","PE.pm1","PE.pm2","PE.pm3","PE.pm4","PE.pp1","PE.pp2","PE.pp3","PE.pp4","HT.eff1","HT.eff2","HT.eff3","HT.eff4","HT.fut1","HT.fut2","HT.fut3","HT.fut4","HT.ind1","HT.ind2","HT.ind3","HT.ind4","HT.fwer","HT.ncr","SS.ave1","SS.ave2","SS.ave3","SS.ave4","SS.med1","SS.med2","SS.med3","SS.med4","SS.min1","SS.min2","SS.min3","SS.min4","SS.max1","SS.max2","SS.max3","SS.max4","DR.ave1","DR.ave2","DR.ave3","DR.ave4","DR.med1","DR.med2","DR.med3","DR.med4","DR.min1","DR.min2","DR.min3","DR.min4","DR.max1","DR.max2","DR.max3","DR.max4"
1,1,0,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,0.0559897637473883,0.0203610867158183,0.0405820791195503,-0.178884855010506,0.803720820000002,0.638124440000001,0.766972265,0.386901205,0.2055,0.0523,0.1435,0.0135,0.0231,0.4178,0.1808,0.7612,0.7714,0.5299,0.6757,0.2253,0.2997,0,23.9579,49.8995,32.9489,57.4035,24,58,34,53,15,29,17,39,24,58,34,78,20.5674979422471,37.6020865325079,25.6187023255729,47.6365707510227,20.3647360629937,37.4950944578768,25.4316583586681,47.4285696434489,10.8555531554311,23.5057747082118,14.2931224435262,31.8159259050636,34.9649242763693,60.4441605467832,42.6342300479721,69.3580398359993
1,1,1,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,-0.00287244269230068,-0.00896521518905964,-0.00339168043306337,-0.0536690385345928,0.476883530000001,0.47279163,0.478079114999999,0.473757204999999,0.0039,0.0104,0.0038,0.0201,0.0988,0.65,0.5302,0.6655,0.8973,0.3396,0.466,0.3144,0.0327,0,23.8386,45.3188,30.9003,60.2669,24,44,33,58,14,29,17,39,24,58,34,78,20.5520989935952,37.5881191056293,25.5197688599943,47.5878094440893,20.3166263714217,37.4246561938927,25.3017352830135,47.3243750854167,10.6633215219352,23.2673041617245,13.0334960266143,32.1397414379385,35.2995324750804,60.2053212775091,41.4854966001027,69.4640204591017
1,2,0,0.1,0.1,0.23,0.23,0.1,0.1,0,0.25,1,1,0.0556866692166409,0.0264318885976211,0.0413207698619853,0.0614489058131482,0.778915030000001,0.6414553,0.746245605,0.645611815000001,0.2076,0.0797,0.1649,0.1159,0.0293,0.3905,0.1952,0.4324,0.7631,0.5298,0.6399,0.4517,0.3093,0.1159,23.9551,50.4036,32.8924,66.114,24,58,34,78,17,29,17,39,24,58,34,78,20.5971522698641,37.6030855968005,25.5561073115619,47.5754824583751,20.3832353672674,37.4939164025764,25.3584877049141,47.3698841410492,11.257985949685,23.8736372143444,14.1583758382416,31.7141627048583,35.1360160607413,57.5946797948955,44.0615367933337,67.9216331409289
1,2,1,0.1,0.1,0.23,0.23,0.1,0.1,0,0.25,1,1,0.00748928318552816,0.00978899402814341,0.00739858041058121,0.165704545384767,0.607080769999998,0.592652285,0.606162684999999,0.72540275,0.0108,0.0229,0.0153,0.1706,0.0697,0.5061,0.4086,0.3164,0.9195,0.471,0.5761,0.513,0.0404,0.1706,23.8891,48.0645,31.6346,69.5183,24,57,34,78,17,29,17,39,24,58,34,78,20.5779059644023,37.6107042632009,25.4947894073013,47.6436484087817,20.4340296011846,37.4446549494882,25.2516618807475,47.4598121747873,10.7068736097053,23.5936611517447,15.4040563878404,31.3039390335826,40.6133354775908,55.7922707218194,42.5784331144639,67.8771311957606
